distro,package,version,modified_date
edge,kbd-misc,2.5.1-r6,2023-02-16
edge,iperf3-openrc,3.13-r0,2023-02-18
edge,uwsgi-router_memcached,2.0.21-r1,2022-11-22
edge,sfcapd-openrc,1.6.24-r0,2022-09-07
edge,lua5.3-posixtz,0.5-r3,2021-01-14
edge,vulkan-loader,1.3.243.0-r0,2023-04-01
edge,chrpath-doc,0.16-r3,2022-08-06
edge,lua5.2-stdlib,41.2.2-r1,2021-01-14
edge,zfs-virt,6.1.22-r3,2023-03-31
edge,zfs-virt,6.1.23-r3,2023-04-07
edge,nginx,1.22.1-r0,2022-10-19
edge,log4cplus-dev,2.1.0-r0,2023-03-10
edge,libshout,2.4.6-r1,2022-08-02
edge,lvm2-static,2.03.20-r2,2023-03-23
edge,supervisor-openrc,4.2.5-r1,2023-01-10
edge,ell,0.56-r2,2023-01-24
edge,btrfs-progs-libs,6.2.2-r0,2023-03-26
edge,logrotate-openrc,3.21.0-r0,2022-12-14
edge,font-adobe-100dpi-doc,1.0.4-r0,2023-02-27
edge,apparmor-lang,3.1.3-r0,2023-03-01
edge,libarchive,3.6.2-r1,2022-12-12
edge,boost1.81-graph,1.81.0-r1,2022-12-23
edge,pjproject,2.13-r0,2022-11-25
edge,perl-email-address-list,0.06-r2,2020-09-21
edge,lxc-bridge,5.0.2-r0,2023-01-17
edge,openldap-overlay-retcode,2.6.4-r1,2023-04-04
edge,libogg-doc,1.3.5-r3,2023-02-26
edge,alpine-keys,2.4-r1,2021-10-18
edge,testdisk-doc,7.1-r2,2022-10-24
edge,skalibs,2.13.1.1-r0,2023-04-02
edge,mdevd,0.1.6.2-r0,2023-02-17
edge,bluez-btmon,5.66-r3,2023-03-24
edge,perl-protocol-websocket-doc,0.26-r1,2020-09-21
edge,py3-appdirs,1.4.4-r5,2022-11-22
edge,rsync-openrc,3.2.7-r1,2023-03-20
edge,fcgi-dev,2.4.2-r3,2023-01-31
edge,libnet,1.2-r1,2022-10-24
edge,opus-doc,1.3.1-r1,2020-07-14
edge,po4a,0.69-r1,2023-02-08
edge,expect-doc,5.45.4-r3,2022-10-14
edge,acf-freeswitch,0.8.0-r4,2021-01-04
edge,lua-stdlib-normalize,2.0.3-r1,2021-01-14
edge,libresample,0.1.3-r3,2023-02-26
edge,libxslt,1.1.37-r2,2023-03-12
edge,perl-convert-tnef,0.18-r4,2021-02-27
edge,freetds-dev,1.3.18-r0,2023-04-02
edge,libgfortran,12.2.1_git20220924-r9,2023-02-04
edge,meson,1.1.0-r0,2023-04-11
edge,perl-exporter-tiny-doc,1.006002-r0,2023-04-01
edge,gettext-lang,0.21.1-r2,2023-03-12
edge,fribidi-doc,1.0.12-r1,2023-01-31
edge,lua5.4-sqlite,0.9.5-r4,2021-01-14
edge,gnupg-lang,2.4.0-r1,2023-02-07
edge,xkbcomp-doc,1.4.6-r0,2022-12-08
edge,u-boot,2023.04-r1,2023-04-08
edge,lua-lzlib,0.4.3-r1,2021-01-14
edge,fftw-dev,3.3.10-r1,2022-10-22
edge,git-scalar,2.40.0-r0,2023-03-13
edge,lua5.1-yaml,1.1.2-r5,2022-10-14
edge,rsnapshot-doc,1.4.5-r0,2023-01-29
edge,perl-mail-domainkeys-doc,1.0-r4,2020-09-21
edge,ifupdown-ng-wireguard-quick,0.12.1-r1,2023-01-12
edge,libical-dev,3.0.16-r1,2022-10-20
edge,avahi,0.8-r10,2023-04-08
edge,lua5.4-mqtt-publish,0.4-r0,2022-10-21
edge,gpm-openrc,1.20.7-r2,2022-03-30
edge,rsyslog-rabbitmq,8.2302.0-r1,2023-03-06
edge,s6-linux-init,1.1.1.0-r0,2023-04-02
edge,jemalloc,5.3.0-r1,2022-07-28
edge,wireguard-tools-bash-completion,1.0.20210914-r1,2022-10-24
edge,lua-xctrl,2015.04.10-r3,2022-04-13
edge,netcf-dev,0.2.8-r7,2022-08-06
edge,syslog-ng-scl,4.1.1-r0,2023-03-11
edge,perl-html-rewriteattributes-doc,0.05-r4,2022-12-31
edge,goaccess-lang,1.7.2-r0,2023-04-01
edge,pm-utils-dev,1.4.1-r4,2022-10-24
edge,postgresql14-plpython3,14.7-r1,2023-03-12
edge,opensp-dev,1.5.2-r2,2022-10-14
edge,samba-libs-py3,4.18.1-r0,2023-03-30
edge,git-daemon,2.40.0-r0,2023-03-13
edge,opus,1.3.1-r1,2020-07-14
edge,linux-firmware-ttusb-budget,20230404-r0,2023-04-05
edge,s6-dns-dev,2.3.5.5-r0,2023-01-14
edge,perl-regexp-ipv6-doc,0.03-r2,2020-09-21
edge,perl-http-body-doc,1.22-r1,2020-09-21
edge,squid-lang-sv,5.7-r0,2022-10-14
edge,boost1.81-random,1.81.0-r1,2022-12-23
edge,libtheora-doc,1.1.1-r16,2020-12-28
edge,libfastjson-dev,0.99.9-r0,2021-02-01
edge,lua5.1-ldap,1.3.1-r0,2023-03-21
edge,xxhash-doc,0.8.1-r3,2023-03-20
edge,lua5.4-posixtz,0.5-r3,2021-01-14
edge,openldap-passwd-sha2,2.6.4-r1,2023-04-04
edge,nagios-plugins-ssh,2.4.2-r0,2022-11-09
edge,lua5.3-mosquitto,0.4.1-r1,2022-04-04
edge,lua5.2-yaml,1.1.2-r5,2022-10-14
edge,uwsgi-zergpool,2.0.21-r1,2022-11-22
edge,libtirpc-doc,1.3.3-r1,2023-03-10
edge,encfs-libs,1.9.5-r20,2023-01-24
edge,shared-mime-info-doc,2.2-r2,2022-11-04
edge,fuse3-doc,3.14.1-r0,2023-03-26
edge,dbus-glib-dev,0.112-r3,2023-02-26
edge,cgit,1.2.3-r4,2023-01-20
edge,lcms2-utils,2.15-r0,2023-03-02
edge,wireguard-tools-wg-quick,1.0.20210914-r1,2022-10-24
edge,perl-module-install-doc,1.19-r3,2022-12-31
edge,opennhrp-doc,0.14.1-r9,2023-03-10
edge,uwsgi-router_metrics,2.0.21-r1,2022-11-22
edge,libmnl-static,1.0.5-r0,2022-04-08
edge,perl-module-build-tiny,0.039-r3,2022-12-31
edge,swig,4.1.1-r1,2022-12-21
edge,libev-dev,4.33-r0,2020-03-19
edge,perl-yaml-tiny,1.74-r0,2023-03-24
edge,ip6tables-openrc,1.8.9-r0,2023-01-13
edge,mesa-gbm,23.0.2-r1,2023-04-09
edge,wireguard-tools-wg,1.0.20210914-r1,2022-10-24
edge,lua5.3-cqueues,20200726-r4,2022-08-02
edge,perl-params-util-doc,1.102-r2,2022-06-08
edge,perl-universal-can-doc,1.20140328-r2,2022-12-31
edge,freeswitch-sounds-fr-fr-sibylle-8000,0.1.3-r1,2022-06-20
edge,perl-http-cookies-doc,6.10-r0,2021-01-10
edge,rrsync,3.2.7-r1,2023-03-20
edge,lua-schema,0_git20170304-r2,2021-11-25
edge,lua-sql-sqlite3,2.6.0-r2,2022-11-11
edge,linux-firmware-rtl_bt,20230404-r0,2023-04-05
edge,newt-doc,0.52.23-r0,2023-01-13
edge,bluez-deprecated-openrc,5.66-r3,2023-03-24
edge,acf-openldap,1.0.1-r8,2021-10-28
edge,iputils-ping,20221126-r1,2023-01-25
edge,pkgconf-dev,1.9.4-r0,2023-01-22
edge,bluez-meshctl,5.66-r3,2023-03-24
edge,libde265-examples,1.0.11-r1,2023-03-29
edge,mosh-doc,1.4.0-r0,2022-10-31
edge,linux-firmware-sxg,20230404-r0,2023-04-05
edge,rdnssd-openrc,1.0.6-r0,2022-07-24
edge,perl-exception-class-doc,1.45-r0,2021-08-25
edge,gpsd-clients,3.25-r0,2023-02-10
edge,py3-pretend,1.0.9-r5,2023-02-27
edge,perl-html-tagset-doc,3.20-r4,2022-12-31
edge,perl-struct-dumb,0.14-r0,2023-03-01
edge,uwsgi-corerouter,2.0.21-r1,2022-11-22
edge,perl-test-mockobject,1.20200122-r1,2020-09-21
edge,rsyslog-zmq,8.2302.0-r1,2023-03-06
edge,nodejs-doc,18.15.0-r0,2023-03-27
edge,libzmq,4.3.4-r1,2022-08-21
edge,drbd-utils-pacemaker,9.23.1-r0,2023-03-23
edge,gdb,13.1-r5,2023-03-28
edge,jitterentropy-library-dev,3.3.1-r1,2023-02-19
edge,mariadb-client,10.11.2-r4,2023-02-19
edge,perl-crypt-openssl-rsa-doc,0.33-r1,2022-08-02
edge,sipcalc-doc,1.1.6-r2,2022-10-24
edge,libuv,1.44.2-r1,2023-02-26
edge,gd,2.3.3-r6,2023-02-04
edge,perl-mime-tools-doc,5.510-r0,2022-07-08
edge,boost1.81-context,1.81.0-r1,2022-12-23
edge,iasl,20221020-r0,2023-03-22
edge,lockfile-progs,0.1.19-r2,2023-03-08
edge,inih-inireader-dev,56-r0,2022-07-16
edge,libxfixes,6.0.1-r0,2023-04-09
edge,perl-encode-hanextra,0.23-r9,2022-12-31
edge,libedit,20221030.3.1-r0,2022-11-08
edge,acf-asterisk,0.7.0-r4,2021-02-06
edge,perl-parallel-forkmanager,2.02-r4,2022-12-31
edge,ncdu-doc,1.18.1-r0,2023-02-12
edge,dovecot-fts-solr,2.3.20-r8,2023-03-13
edge,libjpeg-turbo-doc,2.1.5.1-r1,2023-02-26
edge,s6-static,2.11.3.2-r0,2023-04-02
edge,perl-super-doc,1.20190531-r1,2020-09-21
edge,utmps,0.1.2.1-r0,2023-01-14
edge,perl-config-grammar-doc,1.13-r2,2020-09-21
edge,git-gui,2.40.0-r0,2023-03-13
edge,bzip2-doc,1.0.8-r4,2022-11-14
edge,lua5.1-sqlite,0.9.5-r4,2021-01-14
edge,compiler-rt,16.0.1-r0,2023-04-05
edge,glib-dev,2.76.1-r0,2023-03-22
edge,libevent,2.1.12-r5,2022-08-02
edge,linux-firmware-mrvl,20230404-r0,2023-04-05
edge,gdk-pixbuf-dev,2.42.10-r3,2023-02-04
edge,freeswitch,1.10.8-r4,2023-02-11
edge,rsyslog-mmcount,8.2302.0-r1,2023-03-06
edge,tunnel,1.0-r1,2021-02-04
edge,freeswitch-sounds-pt-br-karina-8000,1.0.51-r5,2023-01-31
edge,freeradius-perl,3.0.26-r1,2023-01-18
edge,squid-lang-fi,5.7-r0,2022-10-14
edge,bluez-headers,5.66-r0,2022-11-22
edge,perl-package-deprecationmanager,0.18-r0,2023-02-20
edge,fribidi,1.0.12-r1,2023-01-31
edge,haproxy-openrc,2.6.12-r0,2023-03-29
edge,librtmp,2.4_git20190330-r2,2022-10-24
edge,tftp-hpa,5.2-r6,2023-02-17
edge,apr-dev,1.7.3-r1,2023-04-01
edge,libusb-compat-dev,0.1.8-r0,2022-11-28
edge,rrdtool-doc,1.8.0-r0,2023-01-15
edge,py3-funcsigs,1.0.2-r7,2022-11-22
edge,haserl-lua5.1,0.9.36-r3,2023-02-05
edge,yajl,2.1.0-r5,2022-07-06
edge,lua5.1-optarg,0.3-r0,2022-03-14
edge,libeconf-doc,0.5.2-r0,2023-03-24
edge,mrtg-doc,2.17.10-r0,2022-05-08
edge,brotli-doc,1.0.9-r11,2023-02-28
edge,mii-tool,2.10-r0,2022-03-04
edge,perl-xml-rss-doc,1.62-r0,2020-10-15
edge,libev,4.33-r0,2020-03-19
edge,openssh-keygen,9.3_p1-r1,2023-03-22
edge,zonenotify,0.1-r5,2022-10-24
edge,perl-class-mix,0.006-r3,2022-12-31
edge,bctoolbox,5.2.12-r0,2023-01-16
edge,libogg-dev,1.3.5-r3,2023-02-26
edge,perl-datetime-locale,1.37-r0,2022-10-24
edge,acpi-doc,1.7-r5,2022-10-24
edge,libgpg-error-lisp,1.47-r0,2023-04-07
edge,lua5.4-expat,1.5.1-r0,2022-10-05
edge,nagios-apache,4.4.10-r0,2023-01-18
edge,heimdal-openrc,7.8.0-r2,2023-02-09
edge,libseccomp-dev,2.5.4-r1,2022-11-22
edge,avahi-compat-howl,0.8-r10,2023-04-08
edge,rtmpdump,2.4_git20190330-r2,2022-10-24
edge,libgcrypt-dev,1.10.2-r0,2023-04-07
edge,rrdtool,1.8.0-r0,2023-01-15
